"","ks4score","fiveac","fiveem","k3en","k3ma","k3sc","gender","SECshort","hiquamum","singlepar","house","fsm","parasp","computer","tuition","pupasp","homework","attitude","sen","truancy","absent","exclude","IDACI_n","FSMband"
"483",636.5,"yes","yes",7,7,7,"Female","Intermediate","Degree_or_equivalent","yes","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.803620138003142,"<5pr"
"484",636.5,"yes","yes",7,7,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.93431076677959,"<5pr"
"485",636.5,"yes","yes",7,7,7,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","4_evenings","low","No","No","No","No",-0.291588088702643,"<5pr"
"486",636.5,"yes","yes",6,7,7,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","No","No",-0.202569042857083,"<5pr"
"488",636,"yes","yes",6,7,6,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-0.307146624106478,"<5pr"
"489",636,"yes","yes",6,6,5,"Female","Intermediate","Degree_or_equivalent","yes","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-1.31492108198125,"5pr-9pr"
"490",636,"yes","yes",5,6,5,"Female","Intermediate","No_qualification","no","rented","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",0.636799641476057,"21pr-35pr"
"492",636,"yes","yes",7,8,7,"Male","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.197699239633136,"35pr+"
"493",636,"yes","yes",6,8,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","1_evening","very_high","No","No","No","No",-1.92150725938925,"5pr-9pr"
"494",636,"yes","yes",6,8,7,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.988619401982951,"<5pr"
"495",636,"yes","yes",7,7,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",-1.11237756226284,"9pr-13pr"
"497",636,"yes","yes",5,7,6,"Male","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-1.11370777347063,"13pr-21pr"
"499",635,"yes","yes",7,8,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_low","No","No","No","No",-0.535780782184094,"<5pr"
"500",635,"yes","yes",7,8,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_low","No","Yes","No","No",-0.253523726408163,"<5pr"
"501",635,"yes","yes",6,8,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",0.282469113436736,"9pr-13pr"
"504",635,"yes","yes",7,8,7,"Male","Intermediate","Other_qualifications","no","rented","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",0.063686252132892,"<5pr"
"505",634.25,"yes","yes",6,7,7,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","No","Yes","No","Yes","3_evenings","low","No","No","No","No",-1.47563622077854,"<5pr"
"507",634,"yes","yes",6,8,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-1.26501741811801,"<5pr"
"508",634,"yes","yes",7,7,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.086263887497761,"21pr-35pr"
"509",634,"yes","yes",7,7,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",-0.761478000604224,"<5pr"
"510",634,"yes","yes",6,7,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_low","No","No","No","No",-1.13738940708523,"<5pr"
"511",634,"yes","yes",6,8,6,"Female","Routine,_semi-routine_or_unemployed","No_qualification","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","missing","missing",0.579557039442175,"21pr-35pr"
"513",634,"yes","yes",5,6,5,"Female","Intermediate","No_qualification","no","rented","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","missing","missing",1.06798754988812,"35pr+"
"514",634,"yes","yes",6,8,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-0.22177145237074,"9pr-13pr"
"516",634,"yes","yes",5,7,6,"Male","Routine,_semi-routine_or_unemployed","HE_below_degree_level","yes","rented","yes","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",-1.27535522875985,"<5pr"
"517",634,"yes","yes",6,6,6,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","No","Yes","No","Yes","1_evening","high","No","No","No","No",-0.615122619376974,"35pr+"
"518",633,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-2.20705680618208,"<5pr"
"519",633,"yes","yes",6,8,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","No","No",-1.18789918847582,"9pr-13pr"
"520",633,"yes","yes",5,6,5,"Female","Routine,_semi-routine_or_unemployed","No_qualification","yes","rented","yes","Yes","Yes","No","Yes","5_evenings","very_high","No","No","missing","missing",1.54139484367697,"35pr+"
"521",633,"yes","yes",6,8,7,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",-1.82839877568894,"5pr-9pr"
"522",633,"yes","yes",5,7,6,"Male","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",0.335797808463415,"9pr-13pr"
"523",632.25,"yes","yes",6,6,7,"Male","Intermediate","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",-0.821437826790385,"13pr-21pr"
"524",632,"yes","yes",5,7,7,"Female","Intermediate","GCE_A_Level_or_equivalent","yes","owned","no","Yes","Yes","No","Yes","2_evenings","high","No","No","No","No",-0.083389618869442,"9pr-13pr"
"525",632,"yes","yes",6,7,6,"Female","Managerial_and_professional","HE_below_degree_level","yes","rented","yes","Yes","Yes","No","Yes","2_evenings","low","No","No","No","No",0.477168944148155,"5pr-9pr"
"526",632,"yes","yes",7,6,6,"Female","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","Yes","No","No",-0.596484871278845,"13pr-21pr"
"527",632,"yes","yes",5,6,5,"Female","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","2_evenings","high","No","No","No","No",-0.223647139859783,"<5pr"
"528",632,"yes","yes",7,8,7,"Male","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-1.99390765970732,"<5pr"
"529",632,"yes","yes",6,8,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","No","No",-2.2107061672494,"<5pr"
"530",632,"yes","yes",7,6,7,"Male","Routine,_semi-routine_or_unemployed","HE_below_degree_level","no","owned","no","Yes","Yes","Yes","Yes","3_evenings","low","No","No","No","No",-0.559999714434159,"5pr-9pr"
"531",632,"yes","yes",6,7,6,"Male","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","No","No",-0.146825706251778,"21pr-35pr"
"532",632,"yes","yes",5,7,6,"Male","Routine,_semi-routine_or_unemployed","Other_qualifications","no","owned","no","Yes","Yes","Yes","Yes","4_evenings","very_high","No","No","No","No",-0.154228083245304,"13pr-21pr"
"533",631,"yes","yes",6,7,7,"Female","Routine,_semi-routine_or_unemployed","No_qualification","no","owned","no","Yes","No","No","Yes","3_evenings","very_high","No","No","missing","missing",-0.310066813920522,"5pr-9pr"
"534",631,"yes","yes",6,8,6,"Female","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-0.101845848937119,"21pr-35pr"
"535",631,"yes","yes",6,7,6,"Female","Intermediate","Other_qualifications","no","rented","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","No","No",0.378194817317012,"21pr-35pr"
"537",631,"yes","yes",7,8,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","low","No","No","No","No",-1.24026194026426,"<5pr"
"538",631,"yes","yes",6,8,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",-1.44807851545697,"<5pr"
"539",631,"yes","yes",5,8,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","No","No",-0.011774269050948,"9pr-13pr"
"541",630,"yes","yes",7,8,7,"Female","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-0.363962262770606,"9pr-13pr"
"542",630,"yes","yes",7,7,7,"Female","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-1.0390265484558,"5pr-9pr"
"543",630,"yes","yes",6,7,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.051494208299115,"13pr-21pr"
"544",630,"yes","yes",6,7,7,"Female","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-0.173741061911773,"13pr-21pr"
"546",630,"yes","yes",5,6,6,"Female","Routine,_semi-routine_or_unemployed","No_qualification","no","rented","no","No","Yes","No","Yes","3_evenings","very_high","No","No","No","No",1.20679776509413,"13pr-21pr"
"547",630,"yes","yes",7,7,6,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",1.27088261761777,"5pr-9pr"
"549",629.25,"yes","yes",7,7,7,"Female","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","high","No","No","No","No",-0.269164248103513,"5pr-9pr"
"550",629,"yes","yes",7,7,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_low","No","No","No","No",-1.82966999522566,"<5pr"
"551",628,"yes","yes",6,7,7,"Female","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-3.00203470290646,"<5pr"
"552",628,"yes","yes",7,7,6,"Female","Managerial_and_professional","Degree_or_equivalent","yes","owned","no","Yes","Yes","Yes","Yes","5_evenings","high","No","No","No","No",-2.47102725509226,"9pr-13pr"
"558",628,"yes","yes",6,7,6,"Male","Routine,_semi-routine_or_unemployed","No_qualification","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","missing","missing",1.05832807345983,"35pr+"
"559",628,"yes","yes",5,6,6,"Male","Routine,_semi-routine_or_unemployed","No_qualification","yes","owned","no","Yes","Yes","No","No","3_evenings","very_low","No","No","No","No",2.03127899681427,"21pr-35pr"
"561",627,"yes","yes",6,7,6,"Female","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",-0.505082177404533,"13pr-21pr"
"563",627,"yes","yes",6,7,6,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",-1.4519481620372,"9pr-13pr"
"564",627,"yes","no",6,6,6,"Female","Managerial_and_professional","Other_qualifications","no","owned","no","Yes","Yes","No","No","missing","very_low","No","No","No","No",0.775264558367728,"21pr-35pr"
"565",627,"yes","yes",5,6,6,"Female","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","1_evening","very_high","No","No","No","No",-0.066715739162195,"13pr-21pr"
"566",627,"yes","yes",5,6,5,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","No","Yes","Yes","Yes","1_evening","very_high","No","No","No","No",-1.61840805981319,"5pr-9pr"
"568",626,"yes","yes",7,7,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","2_evenings","high","No","No","No","No",-0.261829933332286,"5pr-9pr"
"569",626,"yes","yes",6,7,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","2_evenings","low","No","No","No","No",-1.54322417490435,"13pr-21pr"
"574",626,"yes","yes",6,6,6,"Female","Routine,_semi-routine_or_unemployed","No_qualification","yes","rented","yes","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",2.23132297909022,"35pr+"
"575",626,"yes","yes",7,8,7,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-0.451207534680623,"<5pr"
"576",626,"yes","yes",7,8,7,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.123703076983725,"<5pr"
"577",626,"yes","yes",6,6,6,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",1.03793527641793,"9pr-13pr"
"578",626,"yes","yes",5,6,6,"Male","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",1.18404177162206,"21pr-35pr"
"579",625.5,"yes","yes",7,7,6,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-0.463750461922471,"<5pr"
"580",625,"yes","yes",7,7,7,"Female","Intermediate","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-0.783023772850474,"<5pr"
"581",625,"yes","yes",6,6,5,"Female","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-1.26767801229716,"9pr-13pr"
"583",625,"yes","yes",5,5,5,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.106005061897824,"9pr-13pr"
"584",625,"yes","yes",6,8,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","No","No",-1.55138824449082,"<5pr"
"585",625,"yes","yes",7,7,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","No","No",-0.773332044007563,"<5pr"
"588",624.5,"yes","yes",7,8,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","yes","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",0.290675111810553,"<5pr"
"589",624.5,"yes","yes",7,8,7,"Male","Intermediate","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",0.039867129149437,"<5pr"
"590",624,"yes","yes",6,8,7,"Female","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","1_evening","high","No","No","No","No",-1.57900797740514,"21pr-35pr"
"591",624,"yes","yes",7,7,6,"Female","Managerial_and_professional","Degree_or_equivalent","yes","owned","no","Yes","Yes","No","Yes","1_evening","low","No","Yes","No","No",-2.09542637532866,"13pr-21pr"
"592",624,"yes","no",5,3,4,"Female","Routine,_semi-routine_or_unemployed","No_qualification","yes","rented","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","missing","missing",0.986028987238891,"35pr+"
"593",624,"yes","yes",5,7,7,"Male","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","No","Yes","No","Yes","2_evenings","very_high","No","No","No","No",2.03568121908428,"13pr-21pr"
"596",624,"yes","yes",5,6,4,"Male","Managerial_and_professional","No_qualification","no","rented","no","Yes","Yes","No","Yes","3_evenings","high","No","No","missing","missing",-0.005330145504501,"13pr-21pr"
"598",623,"yes","yes",6,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",-1.47752942540854,"5pr-9pr"
"599",623,"yes","yes",7,7,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","1_evening","high","No","No","No","No",-0.484581267878528,"<5pr"
"600",623,"yes","yes",7,7,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","No","No",-1.46578259802968,"5pr-9pr"
"602",623,"yes","yes",7,8,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.184492896711656,"<5pr"
"604",622.25,"yes","yes",7,7,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-1.1631338025824,"<5pr"
"605",622.25,"yes","yes",6,7,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-1.02951947123901,"13pr-21pr"
"606",622,"yes","yes",7,7,6,"Female","Routine,_semi-routine_or_unemployed","No_qualification","yes","rented","yes","Yes","Yes","No","Yes","5_evenings","low","No","Yes","No","No",0.820100839214431,"21pr-35pr"
"607",622,"yes","yes",5,6,5,"Female","Intermediate","No_qualification","no","owned","no","Yes","Yes","Yes","Yes","4_evenings","very_low","No","No","missing","missing",-1.12188003171754,"13pr-21pr"
"609",622,"yes","yes",7,7,7,"Male","Intermediate","HE_below_degree_level","no","rented","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","No","No",0.292501308705991,"<5pr"
"610",622,"yes","yes",6,7,6,"Male","Managerial_and_professional","HE_below_degree_level","no","other/DK/Ref","no","Yes","Yes","No","Yes","2_evenings","low","No","No","No","No",0.254920561532178,"5pr-9pr"
"611",622,"yes","yes",6,6,6,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-1.2115902624859,"21pr-35pr"
"612",621,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","other/DK/Ref","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-1.11429961146099,"<5pr"
"613",621,"yes","yes",6,8,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","missing","high","No","No","No","No",0.536423720915952,"35pr+"
"614",621,"yes","no",7,7,6,"Female","Intermediate","HE_below_degree_level","no","owned","no","Yes","Yes","Yes","Yes","4_evenings","very_high","No","No","No","No",0.194212102485926,"13pr-21pr"
"615",621,"yes","yes",6,6,6,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",-0.828369138568502,"9pr-13pr"
"616",621,"yes","yes",5,6,5,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","No","Yes","Yes","Yes","5_evenings","very_low","No","No","No","No",1.3467428630134,"13pr-21pr"
"617",621,"yes","yes",5,6,5,"Female","Routine,_semi-routine_or_unemployed","No_qualification","yes","rented","yes","Yes","Yes","No","Yes","5_evenings","very_high","No","No","missing","missing",0.974453064607536,"35pr+"
"618",621,"yes","yes",7,8,7,"Male","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","low","No","No","No","No",0.04185764144279,"<5pr"
"619",621,"yes","yes",6,7,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-1.02466616633563,"5pr-9pr"
"621",620.5,"no","no",4,6,4,"Female","Routine,_semi-routine_or_unemployed","Other_qualifications","no","owned","no","No","Yes","No","No","5_evenings","very_high","No","No","No","No",0.808243463018221,"21pr-35pr"
"623",620,"yes","yes",7,8,7,"Female","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","4_evenings","low","No","No","No","No",-0.831175301592011,"<5pr"
"624",620,"yes","yes",6,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","low","No","No","No","No",0.046555922287758,"<5pr"
"627",620,"yes","yes",7,6,6,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",0.641385828957005,"21pr-35pr"
"628",620,"yes","yes",6,6,6,"Female","Intermediate","No_qualification","yes","owned","no","Yes","Yes","No","Yes","3_evenings","very_low","No","Yes","No","Yes",1.03970922227374,"9pr-13pr"
"629",620,"yes","yes",6,6,5,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","No","No",-1.58233757132276,"5pr-9pr"
"630",620,"yes","yes",5,6,5,"Female","Routine,_semi-routine_or_unemployed","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","missing","missing",0.735162806114268,"9pr-13pr"
"631",620,"yes","yes",6,8,7,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","Yes","Yes","4_evenings","low","No","No","No","No",-1.57021360611537,"<5pr"
"632",620,"yes","yes",6,8,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.214195028523814,"<5pr"
"633",620,"yes","yes",5,7,6,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-0.381187326473834,"13pr-21pr"
"634",620,"yes","yes",6,6,6,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",-1.33520859817201,"5pr-9pr"
"635",619,"yes","yes",6,7,7,"Female","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.579557039442175,"21pr-35pr"
"636",619,"yes","yes",7,7,7,"Male","Intermediate","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.374181620446258,"<5pr"
"637",619,"yes","yes",6,7,7,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-0.251059927614344,"<5pr"
"638",619,"yes","yes",6,7,6,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","Yes","Yes","3_evenings","very_high","No","No","No","No",-0.902652092185584,"35pr+"
"639",619,"yes","yes",5,7,6,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","No","No","Yes","1_evening","low","No","Yes","No","No",-0.951434072160839,"5pr-9pr"
"640",618.5,"yes","yes",7,8,7,"Female","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-2.09757526367667,"<5pr"
"641",618.25,"yes","yes",6,7,6,"Female","Routine,_semi-routine_or_unemployed","HE_below_degree_level","yes","owned","no","Yes","Yes","No","Yes","1_evening","very_low","No","No","No","No",1.72655781338819,"35pr+"
"642",618.25,"yes","yes",7,7,6,"Male","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.784646211040245,"9pr-13pr"
"643",618,"yes","yes",7,7,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.551180784174335,"13pr-21pr"
"644",618,"yes","yes",6,7,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_low","No","No","No","No",-1.26892269941655,"<5pr"
"645",618,"yes","yes",6,7,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-1.70370371551185,"<5pr"
"647",618,"yes","yes",7,7,6,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_low","No","No","No","No",-1.32442275972709,"<5pr"
"649",618,"yes","yes",6,8,7,"Male","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",0.883214368883295,"35pr+"
"650",618,"yes","yes",6,8,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","No","No",-0.739757006739134,"<5pr"
"651",618,"yes","yes",6,8,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","1_evening","very_low","No","No","No","Yes",1.1497810458634,"<5pr"
"652",618,"yes","yes",6,8,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","rented","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-1.01423259779608,"9pr-13pr"
"653",618,"yes","yes",7,8,6,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","2_evenings","low","No","No","No","No",-0.345493061899129,"<5pr"
"656",617,"yes","yes",5,6,6,"Female","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-1.65047245267769,"<5pr"
"657",617,"yes","yes",5,6,5,"Female","Routine,_semi-routine_or_unemployed","Other_qualifications","yes","rented","yes","Yes","Yes","No","Yes","3_evenings","high","No","No","Yes","No",1.33230432181369,"21pr-35pr"
"658",617,"yes","yes",5,6,5,"Female","Intermediate","No_qualification","no","rented","no","No","Yes","No","Yes","4_evenings","high","No","No","No","No",-0.088819390629235,"9pr-13pr"
"660",617,"yes","yes",5,6,5,"Male","Managerial_and_professional","Other_qualifications","no","owned","no","Yes","Yes","Yes","Yes","3_evenings","very_high","No","No","No","No",-0.796607904782825,"21pr-35pr"
"661",616.25,"yes","yes",7,7,7,"Female","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.102565584639399,"<5pr"
"662",616.25,"yes","yes",6,7,7,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","missing","missing",-1.10326685989171,"9pr-13pr"
"663",616,"yes","yes",7,6,6,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","2_evenings","high","No","No","No","No",-0.467740511358859,"5pr-9pr"
