"","ks4score","fiveac","fiveem","k3en","k3ma","k3sc","gender","SECshort","hiquamum","singlepar","house","fsm","parasp","computer","tuition","pupasp","homework","attitude","sen","truancy","absent","exclude","IDACI_n","FSMband"
"4889",440,"yes","yes",5,6,5,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_low","No","No","No","No",0.238681591399718,"21pr-35pr"
"4894",440,"yes","no",5,4,4,"Female","Managerial_and_professional","No_qualification","no","rented","no","Yes","No","No","Yes","5_evenings","low","No","No","No","No",-0.104805103894819,"21pr-35pr"
"4895",440,"yes","yes",5,8,7,"Male","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.293830064527547,"<5pr"
"4896",440,"yes","yes",5,6,7,"Male","Intermediate","GCSE_grades_A-C_or_equiv","yes","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-0.285036597565069,"35pr+"
"4899",440,"yes","yes",6,7,6,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","No","No","No","Yes","2_evenings","low","No","No","No","No",0.511418743082803,"13pr-21pr"
"4900",440,"yes","yes",6,7,6,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","yes","rented","no","Yes","Yes","No","Yes","missing","very_low","No","Yes","No","No",0.510331022343974,"<5pr"
"4901",440,"yes","yes",5,7,6,"Male","Intermediate","No_qualification","no","owned","no","Yes","No","No","Yes","2_evenings","very_high","No","No","No","No",0.611761798645664,"35pr+"
"4902",440,"yes","yes",5,7,6,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-0.645005741348429,"13pr-21pr"
"4903",440,"yes","no",6,6,6,"Male","Intermediate","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_low","No","No","No","No",-1.22226648759556,"5pr-9pr"
"4904",440,"yes","yes",6,6,6,"Male","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","1_evening","low","No","No","No","No",-0.044007581250438,"13pr-21pr"
"4905",440,"yes","yes",6,6,6,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","Yes","Yes","2_evenings","low","No","No","No","No",-0.193401480272888,"5pr-9pr"
"4906",440,"yes","no",5,6,6,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","No","Yes","No","No","3_evenings","very_high","No","No","No","No",0.282137961110247,"21pr-35pr"
"4907",440,"yes","no",5,6,6,"Male","Managerial_and_professional","No_qualification","no","rented","no","Yes","Yes","No","No","missing","very_low","No","No","No","No",-0.476634133113263,"21pr-35pr"
"4908",440,"yes","yes",5,6,6,"Male","Routine,_semi-routine_or_unemployed","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","missing","missing",0.697528397379058,"<5pr"
"4911",440,"yes","yes",6,6,5,"Male","Intermediate","HE_below_degree_level","no","owned","no","Yes","Yes","Yes","Yes","missing","very_high","No","No","No","No",-1.18838260958919,"21pr-35pr"
"4912",440,"no","yes",5,6,5,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","No","4_evenings","high","No","No","No","No",0.600100423991091,"9pr-13pr"
"4913",440,"yes","yes",4,6,5,"Male","Routine,_semi-routine_or_unemployed","No_qualification","no","rented","yes","Yes","Yes","No","Yes","5_evenings","very_high","No","No","missing","missing",2.11363758000611,"35pr+"
"4917",440,"no","no",5,5,4,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","No","Yes","No","Yes","3_evenings","low","No","No","No","No",-1.21009996067243,"<5pr"
