ks4score,fiveac,fiveem,k3en,k3ma,k3sc,gender,SECshort,hiquamum,singlepar,house,fsm,parasp,computer,tuition,pupasp,homework,attitude,sen,truancy,absent,exclude,IDACI_n,FSMband
769,yes,yes,6,7,6,Male,Intermediate,No_qualification,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,missing,No,No,0.457558333227503,35pr+
768,yes,yes,7,8,7,Male,missing,missing,missing,other/DK/Ref,no,Yes,Yes,Yes,Yes,5_evenings,very_high,No,No,No,No,-0.875718923251912,5pr-9pr
768,yes,yes,6,8,7,Male,Managerial_and_professional,Degree_or_equivalent,yes,owned,no,Yes,Yes,Yes,Yes,3_evenings,very_high,No,No,No,No,-0.909849142193951,<5pr
768,yes,yes,7,7,7,Male,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-1.22901049650328,13pr-21pr
767,yes,yes,7,8,7,Male,Intermediate,No_qualification,no,rented,no,Yes,Yes,No,Yes,5_evenings,high,No,No,No,No,-0.342201511482685,13pr-21pr
766,yes,yes,7,8,7,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,No,No,-0.692969732682995,<5pr
765.25,yes,yes,7,7,7,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,Yes,Yes,5_evenings,very_high,No,No,No,No,0.61877939565219,35pr+
764,yes,yes,6,6,6,Female,Intermediate,Degree_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,4_evenings,high,No,No,No,No,-0.497414917323511,5pr-9pr
764,yes,yes,7,7,7,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,-0.30089784855546,13pr-21pr
760,yes,yes,6,7,6,Male,Intermediate,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-1.1444050700432,13pr-21pr
759,yes,yes,7,8,7,Female,"Routine,_semi-routine_or_unemployed",No_qualification,yes,rented,yes,Yes,No,No,Yes,4_evenings,high,No,No,No,No,-0.116891864936661,13pr-21pr
